Habituality,Concordance
1,everybody look to them? No. Not in the [group] I be in. [No.] [S-] [Hm.] Everybody sort of decides th
1,"[/inaudible/] [Well the um,] my associates that I be with, they don't live on my street. [Mm-hm.] [Um,"
1,"'em quiet. She- she can't make it. And they just be hollering- She be hollering over there, and they"
1,"he can't make it. And they just be hollering- She be hollering over there, and they be hollering over"
1,"he.] [Yeah.] Oh, kids are so rowdy, you know. She be trying to- She has a little soft voice- She be tr"
1,he be trying to- She has a little soft voice- She be trying to keep 'em quiet. She- she can't make it.
1,"hollering- She be hollering over there, and they be hollering over her. Do you think it's fair, what"
1,"ttractive to you? Well you know, I like you know, be around people, you know. I he- h- you know, help"
1,". First team score thirty two wins. Mm-hm. Or you be playing three. And you know, three against three."
1,"tell me that? [things like that.] Well it's a guy be in the center of you, and you be in the- in the r"
1,"things like when I was sposta be doing my work I be talking to girls or talking to somebody, doing so"
1,"you- is the- are there teams with that? Well, it be about five people, and uh, everybody runs up to-"
1,", Big Marbles, you see. You know, all the marbles be in the center. and a guy comes along with a big m"
1,"guy roll the ball to you, and you kick it. There be about two or three other people behind him, you s"
1,"Well it's a guy be in the center of you, and you be in the- in the rear of the center. And a guy roll"
1,turn all the way around and count to ten. And you be running up as fast as you can to get as close as
1,"at me quite a few time. [What] for? [And-] Like I be playing, talking, either, you know, throwing stuf"
1,"if he just come and- and hang with the boys that be with us. [If he] [Mm-hm.] you know, hang with som"
1,"o because nobody else would have none, so what it be worth- you know. Then it would be something else"
1,"the whole book to you and everything else, and it be boring as I don't know what. Next thing you know,"
1,", and the other kids around there, how happy they be when I do these, make me feel very good. Make me"
1,"y used for jumping rope or? Well, uh, I mean, you be playing around the girls. I- I mean I could learn"
1,"et up, you know, go somewhere, you know, her hair be all tangled up. Or /?/ if I tie her hair to the s"
1,"we had two teams. One be on the one side, and one be on the other side, and we just try to get the bal"
1,"he field to the other. Well we had two teams. One be on the one side, and one be on the other side, an"
1,"s Eve night. And uh Christmas day, well everybody be so choked up over the gifts and everything, they"
1,e and hit you with his fist /like he be-/ like he be fighting Joe [Louis- ] [] it was like Joe Louis [
1,"ss, he'll take and hit you with his fist /like he be-/ like he be fighting Joe [Louis- ] [] it was like"
1,"e fighting Joe [Louis- ] [] it was like Joe Louis [be fighting. ] [/unintelligible/] Oh he was rough, a"
1,"the last person, you have to um- The last person be it. Oh, can you start from the beginning and expl"
1,", y'all better be in bed when I come back, and we be in bed dead asleep. And we wake up real early jus"
1,"m? You know, she holler at you. Mm-hm. And when I be doing my work, she'll say I wasn't doing it. And"
1,"Mm-hm. And they'll get- ho- hide their face. They be saying um, My mother told me to wash them clothes"
1,"one large step forward. We played red light. That be when the person counted to ten real fast, say one"
1,[Let me see.] Just having a ball. Everything. We be running around. See /RD-NAME-3/ has a boyfriend n
1,"situation? Cry. [] [] I don't know. Hm. I don't- Be terribly scared. Yeah. And that's about all, huh?"
1,"ly games like um, this game called horses, and it be two people, two more people and the guy would sho"
1,"I don't know, sometimes it's necessa- sometime he be kind of angry. But uh, for the [most part-] [Some"
1,"But uh, for the [most part-] [Sometimes what?] He be kind of angry, you [know.] [Uh-huh.] But for the"
1,"ool. Uh, there's usually about four of us. /There be uh/ two of 'em go to school here and uh, that I u"
1,"then, I said, now when I get that age, I don't d- be able to say those words. I- I want to say that th"
1,"Oh yeah, I know. Three dollars.] Right, it don't- be like, oh, [it's just a] dollar, but really you ge"
1,"ing different] Yeah, and see something new. Don't be around the same people a lot. Meet new people. So"
1,ah.] [It be] good. [] [It-] Yes! And the fries! I be dipping my fries in there. Now you making me want
1,"t- [Uh-] you don't have nobody talk to at home! I be talking to my mother, but she be getting on my ne"
1,"verything.] [Oh], yeah the Jack Daniel's sauce, I be getting a- a Jack Daniel's sampler. It come [with"
1,"- just walking around. Cause I like walking, so I be walking around Kenilworth. Like, ain't nobody gon"
1,"lack?] [Like, you know- Not] white people, but it be like other like, Ethiopian. Them Ethiopian people"
1,"they doing around there. It's just, sometimes it be a little quiet, like the street be quiet, but oth"
1,"ritating. The congos, and all that? Yeah, it just be getting irritating. Yeah. So you like R and B. Do"
1,"now what be going on. And then really /my mother/ be like, you know. I'm just walking around- just wal"
1,"lk to at home! I be talking to my mother, but she be getting on my nerves sometimes you know. [] [] [/"
1,", sometimes it be a little quiet, like the street be quiet, but other times, I don't know what be goin"
1,"cheese or whatever, [Mm-hm.] [at] Chipotle, they be getting mad. Just put it on my- [in my bowl!] []"
1,"the same thing. Like at them Seven Elevens. They be thinking you about to steal. Oh, so it's not even"
1,"versus the other, [like-] [Yeah], sometimes they be like, you a traitor, you know. You going to that"
1,"t people involved in different activities that we be having. Cause at the rental office, and my mother"
1,a lot of- a lot of corners and- and s- they also be trying to rob you s- if they see you with a fresh
1,"hat a possibility? Stay focused in school, [don't be a-] [Get all my] work done. don't be around a lot"
1,ere all/ /RD-NAME-2/ is she dreading her hair? He be mad when I bring her up around him. He be real ma
1,"air? He be mad when I bring her up around him. He be real mad, I don't care. You felt the need to give"
1,"school, but sometimes school gets, um, tiring. I be very tired after school Why? Because we walk from"
1,is it like- like what- what [age?] [People that] be here. So they don't beef in the Club but they bee
1,"like, I'm ready to fight you? No. It depend- They be cooler sometimes. But if like they see- Say like"
1,"eah but some people from one neighborhood- like I be from a neighborhood in- and I'm friends with you,"
1,"od in- and I'm friends with you, Mm-hm. so like I be like, that's not gonna happen in school, you know"
1,"h I'm not trying to be in that predicament. Or it be like, if it's a group of black kids walking dow-"
1,"hm.] It's like a lot of things happening. So they be like, oh I'm not trying to be in that predicament"
1,"er what you is. Mm-hm. You can be successful they be like, oh look at him he- he's successful but he's"
1,"wouldn't say, oh /RD-NAME-2/ not with them. They be like, even though he from that neighborhood he- w"
1,"going on around you? Uh, I just always like, just be in different neighborhoods. I was never in just m"
1,j- just take me out with him. And I probably just be sitting out there with him or sitting in the car
1,"be at my friend house playing video games. Or we be like making skate videos like, um, editing our sk"
1,"I just claimed this, like- Like where my brother be at, like, that's where I need to be at. Cause lik"
1,"like that, but like, me /?/- like, my brother, he be around like, thirty seven like, I just claimed th"
1,"and then like, the big [/?/] [Right.] /turnt/- he be like, /deaw/. She says /sing a tune, ain't you/ t"
1,"ready the day before that. And then that's how I be like, man. That's when I was little. She was goin"
1,"e four- No. I gotta add some hype into it. Like I be like, one two- like I got to- like I got to turn"
1,stuff that I know I'm'a get in trouble for. Now I be like- And I- I just- I- I just think back- I'm li
1,"eah.] [Oh, wh-] how- whatchu mean all too well? I be /topping/ in there. I know about my man Chuck Bro"
1,"be laughing. He funny. He cool. But like, it just be like, the stuff- like, the stuff that- the music"
1,"st crazy. And then like, my friends like, we just be laughing. Like we have a ball [in every class], a"
1,"Y'all can say, what's up? to me. What's up? /That be up./ Who are your friends? Name your friends. [/Y"
1,"house, for real. You eat there often? Mm-hm. They be like, give me ten minute. They used to be funny."
1,"ic teacher, he my friend. He like Chris Brown. We be laughing. He funny. He cool. But like, it just be"
1,"-hm.] Like we stay on Facetime, and then like, we be calling each other boo and all that. Then yeah. S"
1,"w what about your friends at /RD-WORK-4/? Man, we be having a ball. Like, it's like those my- those my"
1,"son, and then like, my coach, he like my /??/. We be laughing together. His name Coach /RD-NAME-1/. We"
1,"on would say. [Yeah.] A D- A person from Maryland be like, no, I'm from the area. I'm from [the DMV.]"
1,"Northeast side. I have to say that you and Denise be knowing all the places. I'm like, nigga, how you"
1,e we just be not tal- and it don't- it don't even be beefing. Cause it's like I- I wouldn't talk bad a
1,"h other, we never like- So it's just like we just be not tal- and it don't- it don't even be beefing."
1,ps in between like I don't- the falling out never be that serious but the length that- [that we go not
1,"the stove and like- and just walk away, and stuff be on the stove, like so you had to tend to her like"
1,"then they didn't wanna take the train home. They be like, we could walk and then walk down here, get"
1,"they don't understand (laughing) I'm like, y'all be wanting to go somewhere. So they- they trying to"
1,"t step in that shit. Listen to that person, don't be like, well I can step over the shit. My legs long"
1,"ke, damn slim you- you going like that? So now he be trying to have a relationship or whatever it's li"
1,"atever it's like, you know what I'm saying, and I be cool with him whatever but it's just like I know"
1,"but I think the- the tequila I could do it like I be fucking with the tequila and the v- and the, uh-"
1,"o. Oh shit, B. You gotta go to New York. [] [] [I be using] that shit. What else? Um, those the two ma"
1,"the v- and the, uh- and the Cognac. Yeah, and it be having me feeling good. You- you drink one and th"
1,"t know, I just- I don't know. I just- all- I just be wanting- I always- I'm still like that in ways li"
1,"she real, she more- you know what I'm saying, she be chilling or whatever you know what I'm saying, bu"
1,"mmy thing that] she just did. Yeah I told you she be trying to son me. This fine, but it's the other s"
1,ing off say something to me. So he's the one that be getting on them when they all slacking off and [/
1,m saying so it just] like it's a lot of that that be going on with the youngins I just like try to tel
1,"So like when people like- you grow up, like- you be trying to be like this person, you trying to be l"
1,"ing to do- but what was that moment that made you be like, that's my mama. Like, no, that's my mama th"
1,"aying that first though before everybody, now you be hearing everybody saying bruh. I had to change it"
1,"ke a lot of times people, um, in like the church, be closer to their church family than their real fam"
1,"And you be like, uh, I can't believe this. And I be like, kill moe. That's crazy. I can't believe you"
1,"e you say kill moe. Yeah, or- or some people just be like kill. Like that's crazy- Instead of saying t"
1,"hat's crazy- Instead of saying that's crazy, they be like kill. You know, like if you hear something l"
1,"like, man, I just got in a car accident. And you be like, uh, I can't believe this. And I be like, ki"
1,e thinking something and he might just say it. It be crazy. Oh wow. Give me an example. Like I might b
1,"thinking the same thing. You know what I mean, it be crazy. Wow. Wow. Wow. So I guess- what does he do"
1,"what did you and your father do or whatever. Just be like, damn I'm blown out, you know what I'm sayin"
1,"e I'm around] a twin right [now, I don't- I don't be around- you know what I'm saying, so I] don't und"
1,"uple notes and everything, but other than that, I be like, yeah I don't know, you ain't nowhere. But,"
1,"y treat my brother like the baby, /trying to-/ [I be like, god damn, cuz and-] [Ah yeah, that's just l"
1,".] [Yeah, that's what I was about to say.] And it be crazy cause it be like- like- it's cats like /eve"
1,"more so, you know, whatever it- it is he- And it be just like- like time, you know what I'm saying, f"
1,"such, like nah this- this cuz right here. And it be like- like I say, like I gotta really have ID, ha"
1,"the end of the day, you know what I mean. And it be like, /know what I'm saying/- you know what I'm s"
1,hat I was about to say.] And it be crazy cause it be like- like- it's cats like /even know/ my brother
1,"saying, so it's just like it is what it is. /It/ be like, damn. Ah that's interesting cause I'm the m"
1,"ying. They be like, yeah, what's up man. Like, it be [crazy like-] [So somebody] can start a conversat"
1,"yeah man, blah, blah, blah, man what's up man, it be like, you know, I might keep it going a little bi"
